Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1197831,2020-09-09 00:00:00,South,Texas,Houston,Men's Apparel,36,206,7416,2669.76,0.35999999999999999,Outlet
Walmart,1197831,2020-09-10 00:00:00,South,Texas,Houston,Women's Apparel,42,298,12516,7134.12,0.57000000000000006,Outlet
Walmart,1197831,2020-09-11 00:00:00,South,Texas,Houston,Men's Street Footwear,31,272,8432,3288.48,0.38999999999999996,Outlet
Walmart,1197831,2020-09-12 00:00:00,South,Texas,Houston,Men's Athletic Footwear,29,248,7192,2804.88,0.38999999999999996,Outlet
Walmart,1197831,2020-09-13 00:00:00,South,Texas,Houston,Women's Street Footwear,39,255,9945,3679.65,0.37,Outlet
Walmart,1197831,2020-09-14 00:00:00,South,Texas,Houston,Women's Athletic Footwear,36,204,7344,3451.68,0.47000000000000003,Outlet
Walmart,1197831,2020-09-15 00:00:00,South,Texas,Houston,Men's Apparel,35,184,6440,2382.8,0.37,Outlet
Walmart,1197831,2020-09-16 00:00:00,South,Texas,Houston,Women's Apparel,43,233,10019,5410.26,0.54000000000000004,Outlet
Walmart,1197831,2020-10-20 00:00:00,South,Texas,Houston,Men's Street Footwear,34,270,9180,3488.4,0.38,Outlet
Walmart,1197831,2020-10-21 00:00:00,South,Texas,Houston,Men's Athletic Footwear,31,306,9486,3794.4,0.39999999999999997,Outlet
Walmart,1197831,2020-10-22 00:00:00,South,Texas,Houston,Women's Street Footwear,34,281,9554,3726.06,0.38999999999999996,Outlet
Walmart,1197831,2020-10-23 00:00:00,South,Texas,Houston,Women's Athletic Footwear,36,230,8280,4140,0.5,Outlet
Walmart,1197831,2020-10-24 00:00:00,South,Texas,Houston,Men's Apparel,30,195,5850,1872,0.32000000000000001,Outlet
Walmart,1197831,2020-10-25 00:00:00,South,Texas,Houston,Women's Apparel,44,289,12716,7248.12,0.57000000000000006,Outlet
Walmart,1197831,2020-10-26 00:00:00,South,Texas,Houston,Men's Street Footwear,32,333,10656,4262.4,0.39999999999999997,Outlet
Walmart,1197831,2020-10-27 00:00:00,South,Texas,Houston,Men's Athletic Footwear,34,333,11322,4755.24,0.41999999999999998,Outlet
Walmart,1197831,2020-10-28 00:00:00,South,Texas,Houston,Women's Street Footwear,38,298,11324,4303.12,0.38,Outlet
Walmart,1197831,2020-10-29 00:00:00,South,Texas,Houston,Women's Athletic Footwear,36,210,7560,3931.2,0.52000000000000002,Outlet
Walmart,1197831,2020-10-30 00:00:00,South,Texas,Houston,Men's Apparel,30,208,6240,2246.4,0.35999999999999999,Outlet
Walmart,1197831,2020-10-31 00:00:00,South,Texas,Houston,Women's Apparel,41,306,12546,6900.3,0.55000000000000004,Outlet
West Gear,1128299,2020-11-01 00:00:00,South,Texas,Houston,Men's Street Footwear,30,264,7920,3088.8,0.39000000000000001,Outlet
West Gear,1128299,2020-11-02 00:00:00,South,Texas,Houston,Men's Athletic Footwear,33,248,8184,1882.32,0.23000000000000001,Outlet
West Gear,1128299,2020-11-03 00:00:00,South,Texas,Houston,Women's Street Footwear,33,271,8943,3756.06,0.42000000000000004,Outlet
West Gear,1128299,2020-11-04 00:00:00,South,Texas,Houston,Women's Athletic Footwear,35,219,7665,2759.4,0.35999999999999999,Outlet
West Gear,1128299,2020-11-05 00:00:00,West,California,San Francisco,Men's Apparel,38,173,6574,3549.96,0.54000000000000004,Outlet
West Gear,1128299,2020-11-06 00:00:00,West,California,San Francisco,Women's Apparel,36,233,8388,1761.48,0.21000000000000002,Outlet
West Gear,1128299,2020-11-07 00:00:00,West,California,San Francisco,Men's Street Footwear,28,289,8092,3398.64,0.42000000000000004,Outlet
West Gear,1128299,2020-11-08 00:00:00,West,California,San Francisco,Men's Athletic Footwear,36,239,8604,2151,0.25,Outlet
West Gear,1128299,2020-11-09 00:00:00,West,California,San Francisco,Women's Street Footwear,40,247,9880,4050.8,0.41000000000000003,Outlet
West Gear,1128299,2020-11-10 00:00:00,West,California,San Francisco,Women's Athletic Footwear,39,190,7410,2519.4,0.33999999999999997,Outlet
West Gear,1128299,2020-11-11 00:00:00,West,California,San Francisco,Men's Apparel,42,165,6930,3950.1,0.57000000000000006,Outlet
West Gear,1128299,2020-11-12 00:00:00,West,California,San Francisco,Women's Apparel,33,210,6930,1524.6,0.22000000000000003,Outlet
West Gear,1128299,2020-11-13 00:00:00,West,California,San Francisco,Men's Street Footwear,36,272,9792,3818.88,0.39000000000000001,Outlet
West Gear,1128299,2020-11-14 00:00:00,West,California,San Francisco,Men's Athletic Footwear,39,231,9009,2072.07,0.23000000000000001,Outlet
West Gear,1128299,2020-11-15 00:00:00,West,California,San Francisco,Women's Street Footwear,47,210,9870,4145.4,0.42000000000000004,Outlet
West Gear,1128299,2020-12-22 00:00:00,West,California,San Francisco,Women's Athletic Footwear,48,204,9792,3133.44,0.32000000000000001,Outlet
West Gear,1128299,2020-12-23 00:00:00,West,California,San Francisco,Men's Apparel,51,170,8670,4681.8,0.54000000000000004,Outlet
West Gear,1128299,2020-12-24 00:00:00,West,California,San Francisco,Women's Apparel,41,245,10045,2009,0.20000000000000001,Outlet
West Gear,1128299,2020-12-25 00:00:00,West,California,San Francisco,Men's Street Footwear,40,271,10840,4119.2,0.38,Outlet
West Gear,1128299,2020-12-26 00:00:00,West,California,San Francisco,Men's Athletic Footwear,51,216,11016,2754,0.25,Outlet
West Gear,1128299,2020-12-27 00:00:00,West,California,San Francisco,Women's Street Footwear,46,254,11684,4556.76,0.39000000000000001,Outlet
West Gear,1128299,2020-12-28 00:00:00,West,California,San Francisco,Women's Athletic Footwear,48,188,9024,3068.16,0.33999999999999997,Outlet
West Gear,1128299,2020-12-29 00:00:00,West,California,San Francisco,Men's Apparel,47,158,7426,4158.56,0.56000000000000005,Outlet
West Gear,1128299,2020-12-30 00:00:00,West,California,San Francisco,Women's Apparel,62,245,15190,2886.1,0.19000000000000003,Outlet
West Gear,1128299,2020-12-31 00:00:00,West,California,San Francisco,Men's Street Footwear,44,270,11880,5227.2,0.44,Outlet
West Gear,1128299,2021-01-01 00:00:00,West,California,San Francisco,Men's Athletic Footwear,51,233,11883,3208.41,0.27000000000000002,Outlet
West Gear,1128299,2021-01-02 00:00:00,West,California,San Francisco,Women's Street Footwear,46,225,10350,4554,0.44,Outlet
West Gear,1128299,2021-01-03 00:00:00,West,California,San Francisco,Women's Athletic Footwear,42,228,9576,4021.92,0.41999999999999998,Outlet
